Name,Website,Investments
Polychain Capital,http://polychain.capital/,"Dai (DAI)

Orchid Protocol (OXT)

Dfinity [IOU] (ICP)

NuCypher (NU)

Zilliqa (ZIL)

REN (REN)

Celo (CELO)

Compound (COMP)

Origo (OGO)

Nervos Network (CKB)

Terra (LUNA)

Findora (NOT LAUNCH)

KeeperDAO (ROOK)

Acala (NOT LAUNCH)

Oasis Network (ROSE)

Badger DAO (BADGER)


"
Three Arrows Capital,https://www.threearrowscap.com/,"Kyber Network (KNC)

Synthetix Network Token (SNX)

DODO (DODO)

Switcheo (SWTH)

Aave (AAVE)

Balancer (BAL)

KeeperDAO (ROOK)

Perpetual Protocol (PERP)

dHEDGE DAO (DHT)

"
8 Decimal Capital,http://www.8dcapital.com/index.html,"0x (ZRX)

Chainlink (LINK)

Dfinity [IOU] (ICP)

Ethereum (ETH)

IoTeX (IOTX)

Polkadot (DOT)

QuarkChain (QKC)

Bibox Token (BIX)

CertiK (CTK)

GXChain (GXC)

IRISnet (IRIS)

Nebulas (NAS)

Ontology (ONT)

Wanchain (WAN)

Bluzelle (BLZ)

Kyber Network (KNC)

Zilliqa (ZIL)

Fantom (FTM)

ICON (ICX)

Raiden Network Token (RDN)

Hifi Finance (MFT)

"
BlockTower Capital,blocktower.com/,"Hedera Hashgraph (HBAR)

Reserve Rights Token (RSR)

Origin Protocol (OGN)

Fantom (FTM)

Hifi Finance (MFT)

Solana (SOL)

dHEDGE DAO (DHT)

Flow (FLOW)

"
CMS,http://cmsholdings.io/,"OptionRoom (ROOM)

PowerTrade Fuel (PTF)

Serum (SRM)

Opium (OPIUM)

Perpetual Protocol (PERP)

Linear (LINA)

Konomi Network (KONO)

Open Ocean (NOT LAUNCH) 

Oxygen (OXY)

Kine Protocol (KINE)

DODO (DODO)

Siren (SI)

HydraDX (XHDX)

MAPS (MAPS)

"
Alameda Research ,https://www.alameda-research.com/,"DODO (DODO)

Covalent (CQT) (NOT LAUNCH)

MATH (MATH)

Oxygen (OXY)

Hedget (HGET)

Sifchain (EROWAN)

ARMOR (ARMOR)

APY.Finance (APY)

Linear (LINA)

Mask Network (MASK)

Balancer (BAL)

Frontier (FRONT)

UNION Protocol Governance Token (UNN)

Perpetual Protocol (PERP)

Opium (OPIUM)

Serum (SRM)

Razor Network (RAZOR)

MAPS (MAPS)
"
