Name,Website,Investments
Coinbase Ventures,https://ventures.coinbase.com/,"Rarible (RARI)

Rally (RLY)

Flow (FLOW)

UMA (UMA)

Near (NEAR)

Arweave (AR)

Terra (LUNA)

The Graph (GRT)

Audius (AUDIO)

Polygon (MATIC)

Celo (CELO)

DODO (DODO)

Synthetix Network Token (SNX)

Reserve (RSV)


"
Binance Labs,https://labs.binance.com/,"Perpetual Protocol (PERP)

1inch (1INCH)

Injective Protocol (INJ)

Tellor (TRB)

Marlin (POND)

HOPR (HOPR)

FIO Protocol (FIO)

SafePal (SFP)

MATH (MATH)

Terra (LUNA)

Contentos (COS)

Chiliz (CHZ)

CertiK (CTK)

DODO (DODO)

"
