Name,Website,Investments
DTC Capital,https://www.dtc.capital/,"yearn.finance (YFI)

Synthetix Network Token (SNX)

Aave (AAVE)

PoolTogether (POOL)

Near (NEAR)

Keep Network (KEEP)

The Graph (GRT)

Dfinity [IOU] (ICP)

Kadena (KDA)



"
1kx,1kx.network,"NuCypher (NU)

Zilliqa (ZIL)

Perlin (PERL)

Siren (SI)

REN (REN)

Origin Protocol (OGN)

Origo (OGO)

Hifi Finance (MFT)

Nervos Network (CKB)

BEAM (BEAM)

Covalent (CQT) (NOT LAUNCH)

Terra (LUNA)

Arweave (AR)

Nexus Mutual (NXM)

ARMOR (ARMOR)

Radicle (RAD)

UNION Protocol Governance Token (UNN)

Furucombo (COMBO)

Rarible (RARI)

Metadium (META)
"
Pantera Capital,https://www.panteracapital.com/,"PowerTrade Fuel (PTF)

Oasis Network (ROSE)

Acala (NOT LAUNCH)

Balancer (BAL)

1inch (1INCH)

Injective Protocol (INJ)

API3 (API3)

Near (NEAR)

Terra (LUNA)

Livepeer (LPT)

Basic Attention Token (BAT)

Audius (AUDIO)

Filecoin (FIL)

Origin Protocol (OGN)

Celer Network (CELR)

DODO (DODO)

Civic (CVC)

WAX (WAXP)

Ripio Credit Network (RCN)

Gifto (GTO)

ICON (ICX)

Ampleforth (AMPL)

OMG Network (OMG)

0x (ZRX)

Kyber Network (KNC)

Augur (REP)

XRP (XRP)

Zcash (ZEC)

FTX Token (FTT)



"
CoinFund,https://www.coinfund.io/,"Rarible (RARI)

UNION Protocol Governance Token (UNN)

Acala (NOT LAUCN)

Balancer (BAL)

API3 (API3)

Dfinity [IOU] (ICP)

The Graph (GRT)

Hxro (HXRO)

Kadena (KDA)

Livepeer (LPT)

Near (NEAR)

NuCypher (NU)

Polkadot (DOT)

Props Token (PROPS)

Radicle (RAD)

Serum (SRM)"
Robot Ventures,https://robvc.com/,"Compound (COMP)

Siren (SI)

Mirror Protocol (MIR)

NFTX (NFTX)

DODO (DODO)

Empty Set Dollar (ESD)

Kava.io (KAVA)

PoolTogether (POOL)

"
Hex Capital,http://hex.capital/,"Maker (MKR)

Nervos Network (CKB)

0x (ZRX)

"
Kenetic,https://kenetic.capital/,"Vesper Finance (VSP)

Opium (OPIUM)

Rally (RLY)

FTX Token (FTT)

Linear (LINA)

Open Ocean (NOT LAUNCH)

Nexus Mutual (NXM)

Terra (LUNA)

Akropolis (AKRO)

OST (OST)

Hifi Finance (MFT)

Origo (OGO)

Origin Protocol (OGN)

CertiK (CTK)

XMax (XMX)

Quantstamp (QSP)

Bluzelle (BLZ)

Reef Finance (REEF)

Zilliqa (ZIL)

IoTeX (IOTX)

ICON (ICX)

NuCypher (NU)

Carry (CRE)

Kyber Network (KNC)

AirSwap (AST)

"
Woodstock,https://woodstockfund.com/,"Stafi (FIS)

AllianceBlock (ALBT)

UniLend Finance (UFT)

Reef Finance (REEF)

Frontier (FRONT)

SuperFarm (SUPER)

Ethernity Chain (ERN)

Terra Virtua Kolect (TVK)

Sentinel (SENT)

Blank (BLANK)

Holo (HOT)

Marlin (POND)

Band Protocol (BAND)

Covalent (NOT LAUNCH)

Elrond (EGLD)



"
Divergence Ventures,https://www.div.vc/,"1inch (1INCH)

Balancer (BAL)

Acala (NOT LAUNCH)

dHEDGE DAO (DHT)

Perpetual Protocol (PERP)

Alpha Finance (ALPHA)

Compound (COMP)

Serum (SRM)

DefiDollar (DUSD)

The Graph (GRT)

Metadium (META)
"
Galaxy Digital LP,https://www.galaxydigital.io/,"NuCypher (NU)

DODO (DODO)

Terra (LUNA)

Radicle (RAD)

1inch (1INCH)

Opium (OPIUM)

"
IOSG Ventures,https://www.iosg.vc/#/,"Near (NEAR)

Polkadot (DOT)

Cosmos (ATOM)

Kusama (KSM)

Avalanche (AVAX)

1inch (1INCH)

UMA (UMA)

Synthetix Network Token (SNX)

Kava.io (KAVA)

VeChain (VET)

Dfinity [IOU] (ICP)

Lisk (LSK)

Zilliqa (ZIL)

IoTeX (IOTX)

Nervos Network (CKB)

Nimiq (NIM)

Celer Network (CELR)

Raiden Network Token (RDN)

Ocean Protocol (OCEAN)

Hifi Finance (MFT)

Marlin (POND)

Filecoin (FIL)

Kyber Network (KNC)

Maker (MKR)

Theta Network (THETA)

dHEDGE DAO (DHT)

tBTC (TBTC)

"
Greenfield One,https://www.greenfield.one/,"Near (NEAR)

Celo (CELO)

Arweave (AR)

1inch (1INCH)

StakeWise (NOT LAUNCH)
"
NGC Ventures,https://www.ngc.fund/,"Bluzelle (BLZ)

Zilliqa (ZIL)

Algorand (ALGO)

Ankr (ANKR)

CertiK (CTK)

Polkadot (DOT)

Celer Network (CELR)

Marlin (POND)

Elrond (EGLD)

Kusama (KSM)

KuCoin Token (KCS)

Nash (NEX)

Switcheo (SWTH)

dHEDGE DAO (DHT)

Swingby (SWINGBY)

KIRA Network (KEX)

Linear (LINA)

Bifrost (BFC)

ForTube (FOR)

Frontier (FRONT)

Terra Virtua Kolect (TVK)

Razor Network (RAZOR)

Polkastarter (POLS)

PlotX (PLOT)

Hedget (HGET)

Avalanche (AVAX)

Sifchain (EROWAN)

Raven Protocol (RAVEN)

Prometeus (PROM)

TOP Network (TOP)

"
Hashed,https://www.hashed.com/,"Terra Virtua Kolect (TVK)

Linear (LINA)

API3 (API3)

Terra (LUNA)

Kyber Network (KNC)

Ontology (ONT)

NuCypher (NU)

ICON (ICX)

Origin Protocol (OGN)

Quantstamp (QSP)

Dfinity [IOU] (ICP)

Cosmos (ATOM)

Pundi X (NPXS)

Maker (MKR)

OMG Network (OMG)

Synthetix Network Token (SNX)

bZx Protocol (BZRX)

Injective Protocol (INJ)

SAND (SAND)

Basic Attention Token (BAT)

Axie Infinity (AXS)

Metadium (META)
"
gumi Cryptos,https://www.gumi-cryptos.com/,"IDLE (IDLE)

Theta Network (THETA)

Origin Protocol (OGN)

Celsius Network (CEL)

1inch (1INCH)
"
